first_name,last_name,tenure,salary,team_id,league_commissioner_id,team_manager_id
Benn,Matusson,1,$4121900.52,29,1,1
Stormie,Tidswell,2,$2720512.62,26,1,2
Corrine,Rebeiro,3,$3436286.45,5,1,3
Costa,Livens,4,$4719309.25,13,1,4
Trudi,Coleyshaw,5,$3536914.67,1,1,5
Lorenza,Robertet,6,$3407640.08,28,1,6
Ami,Barringer,7,$4786890.54,13,1,7
Chic,Loudian,8,$4279631.62,17,1,8
Haily,Cardon,9,$4630686.22,3,1,9
Demetri,Glentworth,10,$3464879.75,21,1,10
Ramsey,Fevier,11,$3957217.54,2,1,11
Griff,Mallett,12,$2992152.50,29,1,12
Marielle,Bauduin,13,$2940601.74,15,1,13
Heywood,Sunnex,14,$3606162.89,22,1,14
Sansone,Copas,15,$4273364.12,3,1,15
Rooney,MacCrachen,16,$2857130.81,15,1,16
Lucina,Marriner,17,$4656094.99,15,1,17
Jorey,Draisey,18,$3673718.48,15,1,18
Eada,Acarson,19,$4573899.20,9,1,19
Barton,Shadwick,20,$2452269.78,4,1,20
Tann,Malmar,21,$4326830.77,11,1,21
Mile,Piggott,22,$2666683.29,17,1,22
Paco,Oliveti,23,$4701223.91,26,1,23
Orin,McLaren,24,$3501517.13,9,1,24
Marijn,Miroy,25,$3919733.68,2,1,25
Florella,Mellsop,26,$3570160.58,3,1,26
Anna,Elfleet,27,$4206539.18,18,1,27
Berty,Trillow,28,$2873251.26,29,1,28
Cathrine,Franschini,29,$3380168.97,28,1,29
Alonzo,Gerrey,30,$4117872.71,22,1,30
